,ーーーーーーーーーーーーーーーーーーー扇風機特集ーーーーーーーーーーーーーーーーー,,,,,,,,
,型番,商品名,元値段,販売値段,マーク,タグ,,,
nt人気,xr-ht06,イオン除菌機能付き サーキュレーター 高さ5段階調節 静音,"￥10,280",~35畳,12段階,上下約90°/左右約90°,,xr-lrk01,
nt人気,xr-lrk02,イオン除菌 DCモーター 3枚羽根 高31×幅24×奥24cm 小型,"￥6,980",~24畳,6段階,上下約90°/左右約80°,,xr-ht05,
nt人気,xr-esh01,DCモーター リビング扇風機 高さ調節可能 3D送風 軽量設計,"￥7,580",~35畳,16段階,上下約80°°/左右約60,,,
nt人気,xr-jd08,サーキュレーター DCモーター 5枚羽根 リモコン付き 静音,"￥7,980",~30畳,12段階,左右約120°（自動）/720°（3D回転）,,,
nt人気,xr-jd09,サーキュレーター DCモーター 3枚羽根 静音 入切タイマー付き,"￥7,800",~20畳,12段階,約360°（3D回転）,,,
,,,,,,,,,
,,,,最大稼働時間,バッテリー容量,風量調節,,,
ntウェアラブルファン,xr-cf130,マスクエアーファン ホワイト 熱中症対策 USB充電式,"￥2,180",約10時間,2000mAh,3段階,,,
ntウェアラブルファン,xr-m224,ネッククーラー 冷却 温熱 首掛け扇風機 首掛け,￥990,約3.5時間,1800mAh,2つモード,,,
ntウェアラブルファン,xr-f8e,1台4役 腰掛け扇風機 首かけ 携帯扇風機 コンパクト,"￥3,650",約7.5時間,1800mAh,3段階,,,
ntウェアラブルファン,xr-df240,充電式扇風機 クリップ式 スタンド式 USB充電式,"￥2,480",約6時間,2000mAh,3段階,,xr-nf205,腰掛け扇風機 充電式 加湿機能 首かけ 手持ち 卓上式
,,,,,,,,,
ntハンディファン,xr-ja2,小型USB扇風機 3カラー スタンド付き 静音 充電式,"￥1,890",約6.5時間,2000mAh,3段階,,,
ntハンディファン,xr-hf184,手持ち扇風機 卓上充電式 4800mAh 3段階 折り畳み,"￥2,300",約18時間,4800mAh,3段階,,xr-hf115,
ntハンディファン,xr-hf240,首振り LED液晶パネル usb充電 ミニ扇風機 軽量 静音,"￥2,540",約10時間,4000mAh,5段階,,,
ntハンディファン,xr-hf257,手持ち 小型 高さ23.5cm 静音 USB充電式 卓上置き,"￥1,650",約6時間,2000mAh,3段階,,,
,,,,,,,,,
nt卓上型扇風機,xr-df182,1台3役 卓上扇風機 壁掛け 吊り下げ USB充電,"￥3,180",約7時間,4000mAh,3段階,,,
nt卓上型扇風機,xr-df217,ミスト機能付き usb充電 小型 コンパクト 手持ち,"￥2,630",約4時間,2000mAh,3段階,,xr-df202,
nt卓上型扇風機,xr-tf253,1台4役 持ち運び 三脚 コンパクト サーキュレーター,"￥2,680",約7時間,2500mAh,3段階,,qw-f30,
nt卓上型扇風機,xr-df236,手持ち扇風機 2400mAh 60度回転 省エネ 3枚羽根,"￥2,380",約10時間,2400mAh,5段階,,,
nt卓上型扇風機,xr-df243,卓上扇風機 ハンディファン 静音 usb充電 小型 軽量,"￥3,790",約20時間,10000mAh,無段階,,,
,,,,,,,,,
,,,,適用畳数,風量調節,首振り,,,
ntサーキュレーター,xr-ht02,360°首振り サーキュレーター 3段階風量調節 35dB 3D送風,"￥3,580",~24畳,3段階,約360°（3D回転）,,xr-tk02,
ntサーキュレーター,xr-jd15,DC コードレス式 大容量バッテリー搭載 卓上型 壁掛け型,"￥2,980",~10畳,3段階,上下約90°(手動)/左右約90°(自動),,,
ntサーキュレーター,xr-ht01,360°首振り パワフル送風 3D送風 小型 静音 軽量設計 換気,"￥3,280",~16畳,3段階,約360°（3D回転）,,,
ntサーキュレーター,xr-ifu07,リモコン付き 卓上型 16畳対応 5色選べる 自動OFFタイマー,"￥3,380",~16畳,3段階,上下約90°(手動)/左右約90°(自動),,,
ntサーキュレーター,xr-f169c,3枚羽根 リモコン式 自動首振り 高さ調整 切りタイマー付き,"￥5,980",~14畳,3段階,上下約90°(手動)/左右約80°(自動),,,
ntサーキュレーター,xr-e808,USB充電式 120°首振り 2色選べる 呼吸ランプ付き 折り畳み式,"￥3,670",~10畳,4段階,上下約120°(手動)/左右約90°(自動),,,
ntサーキュレーター,xr-ht04,360°首振り 卓上型 壁掛け型 3D送風 小型 軽量設計 空気循環,"￥4,680",~22畳,3段階,約360°（3D回転）,,,
ntサーキュレーター,xr-wk01,アロマ対応 14畳対応 卓上型 壁掛け型 上下首振り 3色選べる,"￥2,800",~14畳,3段階,上下約90°(手動),,,
,,,,,,,,,
ntリビングサーキュレーター,xr-ifu03,高さ調節可能 アロマ機能搭載 左右70°自動首振り 5枚羽根,"￥5,680",~30畳,3段階,上下約90°(手動)/左右約70°(自動),,,
ntリビングサーキュレーター,xr-js01,LEDライト搭載 スタンド式 卓上式 吊り式 高さ調節可能 7枚羽根,"￥5,980",~14畳,3段階,上下約180°(手動),,,
ntリビングサーキュレーター,xr-12dc,5枚羽根 3D首振り リモコン付き DCモーター 静音 省エネ,"￥6,980",~16畳,12段階,上下約90°(自動)/左右約90°(自動),,,
ntリビングサーキュレーター,xr-st70,ACモーター AC扇風機 リモコン 静音 首振り 空気清浄,"￥7,980",~30畳,4段階,上下約85°(自動)/左右約65°(自動),,,
,,,,,,,,,
,,,,自動OFFタイマー,風量調節,首振り,,,
ntタワーファン,xr-fan01,冷暖タイプ DCモーター UV除菌 羽なし 自動首振り,"￥13,480",最大8時間,9段階(送風)、4段階(温風),左右約80°(自動),,,
ntタワーファン,xr-fan02,冷暖タイプ リビング DCモーター 空気清浄 UV殺菌,"￥15,280",最大8時間,9段階(冷風)、4段階(温風),左右約80°(自動),,,
ntタワーファン,xr-fan03,空気清浄機能付 UV殺菌 dcモーター 左右首振り,"￥12,480",最大8時間,9段階,上下約30°(手動)/左右自動,,,
ntタワーファン,xr-d046jr-uv,タワーファン uv除菌 空気清浄機 温風冷風 羽なし,"￥14,480",最大8時間,8段階(冷風)、3段階(温風),左右約80°(自動),,,
ntタワーファン,xr-jd12,スリム 羽根なし扇風機 左右70° 自動首振り 静音,"￥4,680",最大2時間,3段階,左右約70°(自動),,,
ntタワーファン,xr-jd13,木目調 羽根なし 自動タイマーOFF 静音 省エネ,"￥3,280",最大7.5時間,3段階,左右約70°(自動),,,
ntタワーファン,xr-f18jr,冷風機 スポットエアコン ス保冷剤4個付き 6Lタンク,"￥7,400",最大12時間,3段階,上下手動/左右約70°(自動),,,
ntタワーファン,xr-ifu02,冷風機 UV除菌機能付き 5.5L 保冷剤2個付き 首振り,"￥7,600",最大12時間,3段階,上下約90°(手動)/左右自動,,,
,,,,,,,,,
,,,,,,,,,
ntリビング扇風機,xr-jd01,高さ調節可能 左右90°自動首振り 5枚羽根 3D首振り 自動OFF,"￥3,980",最大2時間,3段階,上下約35°(手動)/左右約90°(自動),,,
ntリビング扇風機,xr-jd02,リビング扇風機 高さ調節可能 自動首振り 5枚羽根 リモコン付き,"￥3,580",最大2時間,3段階,上下約35°(手動)/左右約90°(自動),,,
ntリビング扇風機,xr-jd04,高さ調節可能 入切タイマー付き 静音モード 5枚羽根 首振り,"￥4,980",最大7時間,3段階,上下約35°(手動)/左右約90°(自動),,,
ntリビング扇風機,xr-jd05,5枚羽根 2段階モード 左右自動首振り 上下手動式 高さ調節可能,"￥4,780",最大7.5時間,4段階,上下約35°(手動)/左右約90°(自動),,,
,,,,,,,,,
ntその他,filter-xrd046jr,xr-xrd046jr 専用フィルター,"￥3,150",,,,,,
ntその他,filter-xrfan03,xr-fan03 専用フィルター,"￥1,800",,,,,,
ntその他,filter-xrfan02,xr-fan02 専用フィルター,"￥3,150",,,,,,