キーワード,商品型番,商品名,元値段,販売価格,タグ,順位,ブランド
デスクライト,sd-839h,LED デスクライト 電気スタンド 調色3段階,,"¥1,890","3段階調光</span><span class=""blue"">ライト</span>",,
デスクライト,ldl-j375,デスクライト ワイヤレス充電対応 調光 調色,,"¥1,800",,,
デスクライト,sd-829,ブックライト3段階調光 調色 バッテリー付き,,"¥1,680",,,
デスクライト,ldl-j322,ワイヤレス充電対応 Qi対応 タッチパネル,,"¥2,390",,,
,,,,,,,
ワイヤレス充電付き,ldl-m20,月ライト 間接照明 テーブルランプ 直径20cm,,"¥2,980",,,
ワイヤレス充電付き,ldl-m15,月ライト 間接照明 テーブルランプ 直径15cm,,"¥2,580",,,
ワイヤレス充電付き,wt100-ca,100cm幅 奥行60cm パソコンデスク 2色,,,,,
ワイヤレス充電付き,lsld-800,8畳 4灯 LEDシーリングライト リビング対応,,"¥7,180",,,
,,,,,,,
壁掛け式,xr-12dc,5枚羽根 サーキュレーター12段階風量,,"¥6,980",,,
壁掛け式,xd-id618,AI認識 防犯カメラ SDカード録画 265万画素,,"¥4,950",,,
壁掛け式,xd-od128,AI認識防犯カメラ ワイヤレス SDカード録画 ,,"¥9,560",,,
壁掛け式,xr-fan03,dcモーター 空気清浄機能付 風量9段階,,"¥12,480",,,
电风扇商品说明文,,,,,,,
RKリビング扇風機,xr-jd02,,,"¥2,590",,1,
RKリビング扇風機,xr-jd01,,,"¥3,780",,2,
RKリビング扇風機,xr-jd06,,,"¥4,500",,3,
RKリビング扇風機,xr-lrk01,,,"¥7,680",,4,
RKリビング扇風機,xr-jd08,,,"¥7,980",,5,
RKリビング扇風機,xr-ht06,,,"¥10,280",,6,
,,,,,,,
RKサーキュレーター,xr-jd14,,,"¥2,680",,1,
RKサーキュレーター,xr-e808,,,"¥3,670",,2,
RKサーキュレーター,xr-df220-10,,,"¥4,380",,3,
RKサーキュレーター,xr-ifu03,,,"¥5,680",,4,
RKサーキュレーター,xr-ht05,,,"¥6,580",,5,
RKサーキュレーター,xr-lrk01,,,"¥7,680",,6,
,,,,,,,
RK冷風扇,xr-df180,,,"¥2,980",,1,
RK冷風扇,xr-df202,,,"¥3,080",,2,
RK冷風扇,xr-r012,,,"¥3,580",,3,
RK冷風扇,xr-ifu01,,,"¥6,300",,4,
RK冷風扇,xr-f18jr,,,"¥7,400",,5,
RK冷風扇,xr-ifu02,,,"¥7,600",,6,
,,,,,,,
RKタワーファン,xr-jd13,,,"¥3,280",,1,
RKタワーファン,xr-jd12,,,"¥4,680",,2,
RKタワーファン,xr-jd11,,,"¥5,500",,3,
RKタワーファン,xr-drtf11,,,"¥9,200",,4,
RKタワーファン,xr-d046jr,,,"¥11,680",,5,
RKタワーファン,xr-d046jr-uv,,,"¥14,480",,6,
,,,,,,,
RKハンディファン,xr-cf110,,,"¥1,380",,1,
RKハンディファン,xr-hf163,,,"¥1,580",,2,
RKハンディファン,xr-hf172,,,"¥1,680",,3,
RKハンディファン,xr-ja2,,,"¥1,890",,4,
RKハンディファン,xr-hf184,,,"¥2,300",,5,
RKハンディファン,hf310,,,"¥2,960",,6,
,,,,,,,
RKウェアラブルファン,xr-m224,,,¥990,,1,
RKウェアラブルファン,xr-cf193,,,"¥1,390",,2,
RKウェアラブルファン,xr-cf130,,,"¥2,180",,3,
RKウェアラブルファン,xr-nf154,,,"¥2,590",,4,
RKウェアラブルファン,xr-nf205,,,"¥2,890",,5,
RKウェアラブルファン,xr-nf147,,,"¥4,980",,6,